Index,ID,Name
1,DNA_GYRASE,DNA gyrase
2,DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE,"DNA polymerase (2) core, Î²-clamp, Î³-complex, and primase"
3,DNA_POLYMERASE_CORE,DNA-directed DNA polymerase
4,DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX,"DNA polymerase core, &beta;-clamp, and &gamma;-complex"
5,DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE,"DNA polymerase core, &beta;-clamp, and primase"
6,DNA_POLYMERASE_GAMMA_COMPLEX,DNA-directed DNA polymerase gamma complex
7,DNA_POLYMERASE_HOLOENZYME,DNA-directed DNA polymerase holoenzyme
8,MG_0001_048,signal recognition particle
9,MG_0003_465,ribonuclease P
10,MG_001_DIMER,"DNA polymerase III, beta clamp"
11,MG_005_DIMER,seryl-tRNA synthetase
12,MG_006_DIMER,thymidylate kinase
13,MG_008_379_TETRAMER,tRNA uridine 5-carboxymethylaminomethyl modification enzyme
14,MG_013_DIMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
15,MG_014_015_DIMER,multidrug ABC transporter
16,MG_019_DIMER,chaperone protein DnaJ
17,MG_021_DIMER,methionyl-tRNA synthetase
18,MG_023_DIMER,"fructose-1,6-bisphosphate aldolase, class II"
19,MG_029_DIMER,DJ-1/PfpI family protein
20,MG_030_TRIMER,uracil phosphoribosyltransferase
21,MG_033_TETRAMER,glycerol uptake facilitator
22,MG_034_DIMER,thymidine kinase
23,MG_035_DIMER,histidyl-tRNA synthetase
24,MG_036_DIMER,aspartyl-tRNA synthetase
25,MG_038_TETRAMER,glycerol kinase
26,MG_039_DIMER,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
27,MG_040_119_120_121_PENTAMER,Monosaccharide (riboside/galactoside) ABC transporter
28,MG_041_062_429_PENTAMER,"PTS system, fructose-specific"
29,MG_041_069_429_PENTAMER,"PTS system, glucose-specific"
30,MG_042_043_044_045_PENTAMER,spermidine/putrescine (polyamine) ABC transporter
31,MG_046_DIMER,metalloendopeptidase
32,MG_047_TETRAMER,S-adenosylmethionine synthetase
33,MG_049_HEXAMER,purine nucleoside phosphorylase
34,MG_051_DIMER,pyrimidine-nucleoside phosphorylase
35,MG_052_DIMER,cytidine deaminase
36,MG_053_TRIMER,"phosphoglucomutase/phosphomannomutase, putative"
37,MG_055_170_277_464_476_20MER,preprotein translocase
38,MG_058_HEXAMER,ribose-phosphate pyrophosphokinase
39,MG_063_DIMER,"1-phosphofructokinase, putative"
40,MG_064_065_TETRAMER,ABC transporter
41,MG_066_DIMER,transketolase
42,MG_072_DIMER,"preprotein translocase, SecA subunit"
43,MG_073_206_421_TETRAMER,DNA incision complex
44,MG_077_078_079_080_321_PENTAMER,oligopeptide ABC transporter
45,MG_084_TETRAMER,tRNA(Ile)-lysidine synthetase
46,MG_085_HEXAMER,HPr(Ser) kinase/phosphatase
47,MG_089_DIMER,translation elongation factor G
48,MG_091_OCTAMER,"single-strand binding protein family, octamer"
49,MG_091_TETRAMER,"single-strand binding protein family, tetramer"
50,MG_094_HEXAMER,replicative DNA helicase
51,MG_098_099_100_TRIMER,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase
52,MG_102_DIMER,thioredoxin-disulfide reductase
53,MG_102_DIMER_ox,oxidized thioredoxin-disulfide reductase
54,MG_105_OCTAMER,putative DNA integrity scanning protein
55,MG_106_DIMER,peptide deformylase
56,MG_107_DIMER,guanylate kinase
57,MG_109_DIMER,"serine/threonine protein kinase, putative"
58,MG_111_DIMER,glucose-6-phosphate isomerase
59,MG_112_DIMER,ribulose-phosphate 3-epimerase
60,MG_113_DIMER,asparaginyl-tRNA synthetase
61,MG_114_DIMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
62,MG_118_DIMER,UDP-glucose 4-epimerase
63,MG_123_DIMER,arginine deaminase
64,MG_124_MONOMER_ox,oxidized thioredoxin
65,MG_126_DIMER,tryptophanyl-tRNA synthetase
66,MG_127_MONOMER_ox,oxidized Spx subfamily protein
67,MG_128_HEXAMER,"inorganic polyphosphate/ATP-NAD kinase, probable"
68,MG_132_DIMER,purine nucleoside phosphoramidase
69,MG_136_DIMER,lysyl-tRNA synthetase
70,MG_137_DIMER,UDP-galactopyranose mutase
71,MG_139_DIMER,ribonuclease J
72,MG_179_180_181_TETRAMER,metal ion (cobalt) ABC transporter
73,MG_182_DIMER,Pseudouridylate synthase
74,MG_184_DIMER,adenine-specific DNA modification methylase
75,MG_186_187_188_189_PENTAMER,Oligosaccharide or polyol ABC transporter
76,MG_194_195_TETRAMER,phenylalanyl-tRNA synthetase
77,MG_201_DIMER,co-chaperone GrpE
78,MG_203_204_TETRAMER,topoisomerase IV
79,MG_205_DIMER,"heat-inducible transcription repressor HrcA, putative"
80,MG_208_DIMER,glycoprotease family protein
81,MG_213_214_298_6MER,chromosome segregation protein SMC
82,MG_213_214_298_6MER_ADP,Chromosome Segregation Protein SMC with SCP Proteins-ADP
83,MG_215_TETRAMER,6-phosphofructokinase
84,MG_216_TETRAMER,pyruvate kinase
85,MG_221_OCTAMER,mraZ protein
86,MG_224_2MER_GTP,cell division protein ftsZ activated 2mer
87,MG_224_3MER_GTP,cell division protein ftsZ activated 3mer
88,MG_224_4MER_GTP,cell division protein ftsZ activated 4mer
89,MG_224_5MER_GTP,cell division protein ftsZ activated 5mer
90,MG_224_6MER_GTP,cell division protein ftsZ activated 6mer
91,MG_224_7MER_GTP,cell division protein ftsZ activated 7mer
92,MG_224_8MER_GTP,cell division protein ftsZ activated 8mer
93,MG_224_9MER_GDP,cell division protein ftsZ deactivated 9mer
94,MG_224_9MER_GTP,cell division protein ftsZ activated 9mer
95,MG_224_MONOMER_GDP,cell division protein ftsZ hydrolysed
96,MG_224_MONOMER_GTP,cell division protein ftsZ activated
97,MG_225_DIMER,amino acid transporter
98,MG_226_DIMER,amino acid transporter
99,MG_227_DIMER,thymidylate synthase
100,MG_228_TETRAMER,dihydrofolate reductase
101,MG_229_231_TETRAMER,ribonucleoside-diphosphate reductase
102,MG_229_231_TETRAMER_ox,oxidized ribonucleoside-diphosphate reductase
103,MG_239_HEXAMER,ATP-dependent protease La
104,MG_240_HEXAMER,nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein
105,MG_244_DIMER,3-5' helicase
106,MG_251_DIMER,glycyl-tRNA synthetase
107,MG_252_DIMER,23S rRNA methyltransferase
108,MG_259_TETRAMER,modification methylase
109,MG_265_DIMER,sugar phosphatase
110,MG_271_272_273_274_192MER,pyruvate dehydrogenase
111,MG_271_272_273_274_192MER_ox,oxidized dihydrolipoamide dehydrogenase
112,MG_275_TETRAMER,NADH oxidase
113,MG_276_DIMER,adenine phosphoribosyltransferase
114,MG_278_DIMER,GTP pyrophosphokinase
115,MG_283_DIMER,prolyl-tRNA synthetase
116,MG_287_MONOMER_ACP,holo acyl carrier protein
117,MG_287_MONOMER_ddcaACP,Dodecanoyl-ACP (n-C12:0ACP)
118,MG_287_MONOMER_hdeACP,cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)
119,MG_287_MONOMER_myrsACP,Myristoyl-ACP (n-C14:0ACP)
120,MG_287_MONOMER_ocdcaACP,Octadecanoyl-ACP (n-C18:0ACP)
121,MG_287_MONOMER_octeACP,cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)
122,MG_287_MONOMER_palmACP,Palmitoyl-ACP (n-C16:0ACP)
123,MG_287_MONOMER_tdeACP,cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)
124,MG_289_290_291_PENTAMER,phosphonate ABC transporter
125,MG_292_TETRAMER,alanyl-tRNA synthetase
126,MG_293_DIMER,glycerophosphoryl diester phosphodiesterase family protein
127,MG_295_MONOMER_ox,oxidized tRNA U34 sulfurtransferase
128,MG_299_DIMER,phosphate acetyltransferase
129,MG_301_TETRAMER,"glyceraldehyde-3-phosphate dehydrogenase, type I"
130,MG_302_303_304_TETRAMER,metal ion (cobalt) ABC transporter
131,MG_316_DIMER,DNA internalization-related competence protein ComEC/Rec2
132,MG_322_323_TETRAMER,"potassium uptake protein, TrkH family, putative"
133,MG_333_DIMER,"FMN-dependent NADH-azoreductase, putative"
134,MG_336_DIMER,cysteine desulfurase
135,MG_346_DIMER,23S rRNA methyltransferase
136,MG_347_DIMER,tRNA (guanine-N(7)-)-methyltransferase
137,MG_349_HEXAMER,Replication initiation/membrane attachment protein
138,MG_351_HEXAMER,inorganic pyrophosphatase
139,MG_352_DIMER,Holliday junction endonuclease
140,MG_353_DIMER,"DNA-binding protein HU, putative"
141,MG_355_HEXAMER,"ATP-dependent Clp protease, ATPase subunit"
142,MG_357_DIMER,acetate kinase
143,MG_358_359_10MER,Holliday junction DNA helicase
144,MG_367_DIMER,ribonuclease III
145,MG_368_DIMER,fatty acid/phospholipid synthesis protein PlsX
146,MG_369_DIMER,DAK2 phosphatase domain protein
147,MG_372_DIMER,thiamine biosynthesis/tRNA modification protein ThiI
148,MG_375_DIMER,threonyl-tRNA synthetase
149,MG_376_HEXAMER,
