Index,ID,Name,Type
1,DNA_GYRASE,DNA gyrase,nascent
2,DNA_POLYMERASE_2CORE_BETA_CLAMP_GAMMA_COMPLEX_PRIMASE,"DNA polymerase (2) core, Î²-clamp, Î³-complex, and primase",nascent
3,DNA_POLYMERASE_CORE,DNA-directed DNA polymerase,nascent
4,DNA_POLYMERASE_CORE_BETA_CLAMP_GAMMA_COMPLEX,"DNA polymerase core, &beta;-clamp, and &gamma;-complex",nascent
5,DNA_POLYMERASE_CORE_BETA_CLAMP_PRIMASE,"DNA polymerase core, &beta;-clamp, and primase",nascent
6,DNA_POLYMERASE_GAMMA_COMPLEX,DNA-directed DNA polymerase gamma complex,nascent
7,DNA_POLYMERASE_HOLOENZYME,DNA-directed DNA polymerase holoenzyme,nascent
8,MG_0001_048,signal recognition particle,nascent
9,MG_0003_465,ribonuclease P,nascent
10,MG_001_DIMER,"DNA polymerase III, beta clamp",nascent
11,MG_005_DIMER,seryl-tRNA synthetase,nascent
12,MG_006_DIMER,thymidylate kinase,nascent
13,MG_008_379_TETRAMER,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,nascent
14,MG_013_DIMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,nascent
15,MG_014_015_DIMER,multidrug ABC transporter,nascent
16,MG_019_DIMER,chaperone protein DnaJ,nascent
17,MG_021_DIMER,methionyl-tRNA synthetase,nascent
18,MG_023_DIMER,"fructose-1,6-bisphosphate aldolase, class II",nascent
19,MG_029_DIMER,DJ-1/PfpI family protein,nascent
20,MG_030_TRIMER,uracil phosphoribosyltransferase,nascent
21,MG_033_TETRAMER,glycerol uptake facilitator,nascent
22,MG_034_DIMER,thymidine kinase,nascent
23,MG_035_DIMER,histidyl-tRNA synthetase,nascent
24,MG_036_DIMER,aspartyl-tRNA synthetase,nascent
25,MG_038_TETRAMER,glycerol kinase,nascent
26,MG_039_DIMER,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative",nascent
27,MG_040_119_120_121_PENTAMER,Monosaccharide (riboside/galactoside) ABC transporter,nascent
28,MG_041_062_429_PENTAMER,"PTS system, fructose-specific",nascent
29,MG_041_069_429_PENTAMER,"PTS system, glucose-specific",nascent
30,MG_042_043_044_045_PENTAMER,spermidine/putrescine (polyamine) ABC transporter,nascent
31,MG_046_DIMER,metalloendopeptidase,nascent
32,MG_047_TETRAMER,S-adenosylmethionine synthetase,nascent
33,MG_049_HEXAMER,purine nucleoside phosphorylase,nascent
34,MG_051_DIMER,pyrimidine-nucleoside phosphorylase,nascent
35,MG_052_DIMER,cytidine deaminase,nascent
36,MG_053_TRIMER,"phosphoglucomutase/phosphomannomutase, putative",nascent
37,MG_055_170_277_464_476_20MER,preprotein translocase,nascent
38,MG_058_HEXAMER,ribose-phosphate pyrophosphokinase,nascent
39,MG_063_DIMER,"1-phosphofructokinase, putative",nascent
40,MG_064_065_TETRAMER,ABC transporter,nascent
41,MG_066_DIMER,transketolase,nascent
42,MG_072_DIMER,"preprotein translocase, SecA subunit",nascent
43,MG_073_206_421_TETRAMER,DNA incision complex,nascent
44,MG_077_078_079_080_321_PENTAMER,oligopeptide ABC transporter,nascent
45,MG_084_TETRAMER,tRNA(Ile)-lysidine synthetase,nascent
46,MG_085_HEXAMER,HPr(Ser) kinase/phosphatase,nascent
47,MG_089_DIMER,translation elongation factor G,nascent
48,MG_091_OCTAMER,"single-strand binding protein family, octamer",nascent
49,MG_091_TETRAMER,"single-strand binding protein family, tetramer",nascent
50,MG_094_HEXAMER,replicative DNA helicase,nascent
51,MG_098_099_100_TRIMER,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase,nascent
52,MG_102_DIMER,thioredoxin-disulfide reductase,nascent
53,MG_102_DIMER_ox,oxidized thioredoxin-disulfide reductase,nascent
54,MG_105_OCTAMER,putative DNA integrity scanning protein,nascent
55,MG_106_DIMER,peptide deformylase,nascent
56,MG_107_DIMER,guanylate kinase,nascent
57,MG_109_DIMER,"serine/threonine protein kinase, putative",nascent
58,MG_111_DIMER,glucose-6-phosphate isomerase,nascent
59,MG_112_DIMER,ribulose-phosphate 3-epimerase,nascent
60,MG_113_DIMER,asparaginyl-tRNA synthetase,nascent
61,MG_114_DIMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,nascent
62,MG_118_DIMER,UDP-glucose 4-epimerase,nascent
63,MG_123_DIMER,arginine deaminase,nascent
64,MG_124_MONOMER_ox,oxidized thioredoxin,nascent
65,MG_126_DIMER,tryptophanyl-tRNA synthetase,nascent
66,MG_127_MONOMER_ox,oxidized Spx subfamily protein,nascent
67,MG_128_HEXAMER,"inorganic polyphosphate/ATP-NAD kinase, probable",nascent
68,MG_132_DIMER,purine nucleoside phosphoramidase,nascent
69,MG_136_DIMER,lysyl-tRNA synthetase,nascent
70,MG_137_DIMER,UDP-galactopyranose mutase,nascent
71,MG_139_DIMER,ribonuclease J,nascent
72,MG_179_180_181_TETRAMER,metal ion (cobalt) ABC transporter,nascent
73,MG_182_DIMER,Pseudouridylate synthase,nascent
74,MG_184_DIMER,adenine-specific DNA modification methylase,nascent
75,MG_186_187_188_189_PENTAMER,Oligosaccharide or polyol ABC transporter,nascent
